code,name,network_id,network_region,description,npi_id,lat,lng,created_at,updated_at
BELLBAY,Bell Bay,NEM,TAS1,"<p>The Bell Bay Power Station was a power station located in Bell Bay, on the Tamar River, Tasmania, Australia, adjacent to the Tamar Valley Power Station, with which it was often confused. It was commissioned between 1971 and 1974 as an oil fired thermal power station, and was converted to natural gas in 2003, after the commissioning of the Tasmanian Gas Pipeline, a submarine gas pipeline which transports natural gas from Longford, Victoria, under Bass Strait, to Bell Bay, Tasmania. As the power station&#x27;s primary role was to provide system security in the event of drought for Tasmania&#x27;s predominantly hydro-electric based generation system it only was rarely called on to operate, resulting in intervals of five to eight years between periods of significant use. After the commissioning of Basslink in 2006, the power station was decommissioned in 2009.<br/>At the time of decommissioning, it had two 120 megawatts (160,000 hp) gas fired steam turbines and three 35 megawatts (47,000 hp) gas turbines, giving a total capacity of 345 megawatts (463,000 hp) of electricity. After the Bell Bay Power Station was decommissioned, the three smaller units became part of the Tamar Valley Power Station.</p>",NA,-41.141944,146.9025,2023-10-18 04:34:35+00:00,2024-12-12 12:03:50+00:00
BBP31,Bell Bay Three,NEM,TAS1,"<p>Tamar Valley Power Station is a $230 million natural gas-fired power station located in Bell Bay in the Tamar Valley, Tasmania. It is owned by Hydro Tasmania, and is immediately adjacent to the decommissioned Bell Bay Power Station, which is also owned by Hydro Tasmania.</p><p>This facility refers to the 178MW open-cycle gas turbines at the sight.</p>",NA,-41.139324,146.905522,2023-10-18 04:34:35+00:00,2025-09-07 01:53:26+00:00
BRYB1WF1,Berrybank,NEM,VIC1,"<p>The Berrybank 1 Wind Farm site is located in South-Western Victoria approximately 14km east of Lismore and 16km west of Cressy. It is approximately 130km west of Melbourne within the Victorian district known as the Western Plains, located within the Corangamite and Golden Plains Local Government Areas.</p>",NA,-37.980741,143.472217,2023-10-18 04:34:39+00:00,2025-07-08 04:03:23+00:00
BERWICK,Berwick,NEM,VIC1,<p></p>,NA,-37.940819,145.236257,2023-10-18 04:34:35+00:00,2025-09-07 01:53:27+00:00
BERYLSF,Beryl,NEM,NSW1,"<p>Located on Wiradjuri Country in the Central West of NSW, approximately 5 kilometres west of Gulgong, Beryl Solar Farm supplies clean, green energy to power the Sydney Metro Northwest Rail Link.</p>",NA,-32.347501,149.460738,2023-10-18 04:34:35+00:00,2025-07-08 04:50:22+00:00
BIALAWF,Biala,NEM,NSW1,"<p>Biala wind farm is a 31 turbine wind farm located approximately 6km south of Grabben Gullen on Grabben Gullen Road, 8km east of Biala and 14.5km south west of Crookwell in the Southern Tablelands of NSW. The planned wind farm is 100% owned by Beijing Jingneng Clean Energy (Australia) Holding Pty Ltd (BJCE Australia) who own the nearby 73 turbine Gullen Range Wind Farm and 10MW Gullen Solar Farm.<br/>Biala Wind Farm is expected to have an installed capacity of approximately 110MW producing enough electricity for approximately 46,000 typical homes on an average day of wind.<br/>BJCE Australia commenced construction of the wind farm in August 2019 with electricity expected to be generated in the second quarter of 2020.</p>",NA,-34.587836,149.369848,2023-10-18 04:34:36+00:00,2025-07-08 04:51:03+00:00
BLAYNEY,Blayney,NEM,NSW1,"<p>The Blayney wind farm is a wind power station at Lake Carcoar, south of Blayney, New South Wales, Australia. It was acquired by Trustpower in 2014, and is now owned by Tilt Renewables. Blayney has fifteen wind turbines, with a total nameplate capacity of 9.9 MW of electricity.</p>",NA,-33.621944,149.198333,2023-10-18 04:34:36+00:00,2024-12-12 12:03:58+00:00
SNOWY6,Blowering,NEM,NSW1,"<p>The dam houses a hydroelectric power station and has one turbine generator, with a generating capacity of 80 megawatts of electricity; with a net generation of 260 gigawatt-hours per annum. The power station has 86.6 metres rated hydraulic head.</p>",NA,-35.397402,148.247225,2023-10-18 04:35:21+00:00,2025-07-08 05:29:16+00:00
BLUEGSF,Blue Grass,NEM,QLD1,"<p>The Blue Grass solar farm in Queensland, Australia, is being developed by Spanish renewable energy producer X-ELIO. The 200MW solar facility will produce 420GWh of green electricity a year, sufficient to power approximately 80,000 Queensland homes, once fully operational in the fourth quarter of 2021.</p>",NA,-26.691708,150.500037,2023-10-18 04:34:36+00:00,2025-07-08 04:23:36+00:00
BLULAKE,Blue Lake Milling,NEM,SA1,<p></p>,NA,-36.316597,140.757571,2023-10-18 04:34:38+00:00,2023-10-18 04:34:38+00:00
BLYTHB,Blyth,NEM,SA1,<p>The Blyth Battery is a grid-scale battery that will connect into South Australia’s electricity grid via the transmission network.</p><p>The Blyth Battery will use CATL batteries supplied and installed by our project consortium – Green Light Contractors and NHOA Australia.</p><p>The Blyth Battery will provide stability for the region by dispatching stored energy to the grid during peak times of demand.</p><p><br/></p>,NA,-33.848475,138.403204,2024-10-13 04:32:57+00:00,2025-08-26 00:42:15+00:00
BOCOROCK,Boco Rock,NEM,NSW1,"<p>Boco Rock Wind Farm is a wind farm 10km southwest of Nimmitabel in the Snowy Mountains region of New South Wales, Australia. It has 67 GE 100-1.7 wind turbines with a hub height of 80m, and generates up to 113MW of electricity. It is managed by the developers, CWP Renewables but is now owned by EGCO.The engineering, procurement and construction contract for the wind farm was let in June 2013 to a consortium of GE and Downer EDI. The electricity generated is contracted for sale to EnergyAustralia.</p>",NA,-36.574527,149.124863,2023-10-18 04:34:38+00:00,2025-07-08 04:48:29+00:00
BODWF,Bodangora,NEM,NSW1,"<p>Bodangora Wind Farm is a wind farm owned by Infigen Energy in the district of Bodangora near Wellington, New South Wales, Australia. It has 33 wind turbines with a total generating capacity of 113.2 MW. The towers are 85 metres tall, and the rotor diameter is 130 metres. The wind turbine blades were manufactured in Bergama, Turkey. The development of the project began in 2009. It received planning approval in August 2013. The wind farm was completed on 27 February 2019.Bodangora Wind Farm has a power purchase agreement to sell 60% of the electricity generated to EnergyAustralia until the end of 2030.</p>",NA,-32.407128,149.04133,2023-10-18 04:34:38+00:00,2025-07-08 04:48:11+00:00
MCKAY,Bogong / Mackay,NEM,VIC1,"<p>McKay Creek Power Station is one of four hydroelectric power stations in the Kiewa Hydroelectric Scheme, Victoria, Australia. McKay Creek has six 25 megawatts generators driven by Pelton wheel turbines, with a total generating capacity of 150 megawatts.<br/><br/>The power station is located on the slopes of Mount McKay at ground level. The water is transported from the Rocky Valley Dam through a near vertical pipe. Water released from the power station is used by the Bogong Hydropower Project, commissioned in 2009.<br/></p>",NA,-36.805471,147.227845,2023-10-18 04:35:08+00:00,2025-07-08 04:20:14+00:00
BOLIVAR,Bolivar,NEM,SA1,<p>Iberdrola Australia has agreed to lease 120 MW of aero-derivative gas turbine equipment from the South Australian Government for a period of 25 years.</p><p>The equipment includes four independent 30 MW dual fuel units and related balance of plant. The generators can start in less than ten minutes and enable Iberdrola Australia to manage the intermittency risks associated with its large and growing fleet of renewable energy assets.</p>,NA,-34.495482,138.387641,2023-10-18 04:34:38+00:00,2024-10-30 03:30:25+00:00
BOLIVPS,Bolivar,NEM,SA1,<p>Iberdrola Australia has agreed to lease 120 MW of aero-derivative gas turbine equipment from the South Australian Government for a period of 25 years.</p><p>The equipment includes four independent 30 MW dual fuel units and related balance of plant. The generators can start in less than ten minutes and enable Iberdrola Australia to manage the intermittency risks associated with its large and growing fleet of renewable energy assets.</p>,NA,-34.7772,138.5826,2023-10-18 04:34:38+00:00,2025-09-07 01:53:29+00:00
BOMENSF,Bomen,NEM,NSW1,"<p>Located 10 km north-east of Wagga Wagga city centre on Wiradjuri land, in the Wagga Wagga Special Activation Precinct, Bomen Solar Farm is a 100 MW solar farm and battery built by Australian developer Spark Renewables.</p>",NA,-35.0486,147.4439,2023-10-18 04:34:38+00:00,2025-07-08 04:41:32+00:00
0BCWF,Boulder Creek,NEM,QLD1,"<p>Boulder Creek Wind Farm (Stage 1) is a 228 MW onshore wind farm, located 40 km southwest of Rockhampton and approximately 5 km west of Mount Morgan in central Queensland. The project, which is co-owned by Aula Energy and CS Energy will comprise 38 wind turbines, and will commence construction in November 2024.</p>",NA,-23.669964,150.260813,2025-04-16 03:17:03+00:00,2025-04-16 03:23:11+00:00
BBATTERY,Bouldercombe,NEM,QLD1,"<p>The Bouldercombe Battery Project (BBP) located in Rockhampton, is now operational and is Genex’s first large-scale battery energy storage project of 50MW/100MWh’s.</p><p>Genex has signed a Connection Agreement with Powerlink enabling BBP to connect into the adjacent 275kV/132kV Bouldercombe substation, via an exiting 132kV bay. BBP is located at critical part of the Queensland electricity grid with high network strength and Marginal Loss Factors.</p><p></p><p>BBP is built using the Tesla Megapack 2.0 hardware and will operate under the Tesla Autobidder software.</p>",NA,-23.563443,150.459658,2023-10-18 04:34:35+00:00,2025-08-26 02:42:06+00:00
BRAEMARA,Braemar,NEM,QLD1,"<p>Braemar-1 is a 502 MW open-cycle natural gas turbine plant located 35 kilometres south west of Dalby, adjacent to the Kogan Creek Power Station, Queensland – New South Wales high voltage transmission interconnector and Powerlink 320/274 kV substation. It is supplied from the Tipton West coal seam gas fields, with the 150-kilometre pipeline between Condamine and Braemar, which is used exclusively to supply the Braemar Power Station.<br/><br/>The power station was developed by ERM Power and was built by Alstom. It is equipped by three Alstom&#x27;s 150 MW GT13E2 gas turbines. The power station cost A$545 million. It was completed in 2006 and is anticipated to operate until 2036.</p>",NA,-27.111669,150.907647,2023-10-18 04:34:38+00:00,2025-09-07 01:53:31+00:00
B2PS,Braemar 2,NEM,QLD1,"<p>Braemar-2 is a 450 MW open-cycle natural gas turbine plant adjacent to the Braemar-1 power station. The power station was developed by ERM Power and was built by Bilfinger. It supplies peak demand power and it is equipped by three Siemens&#x27;s 150 MW SGT5-2000E gas turbines. The power station cost A$546 million. Gas for this power station is sourced from the Stratheden field at Daandine.<br/><br/>Arrow Energy acquired 50% of the station in 2008 and on 4 July 2011, it took full control of Braemar-2.<br/></p>",NA,-27.109873,150.907653,2023-10-18 04:34:32+00:00,2025-09-07 01:53:19+00:00
BRNDBES,Brendale,NEM,QLD1,"<p>The Brendale BESS will allow Akaysha to trade capacity in the electricity market to provide ancillary services, such as Energy Arbitrage, Contingency and regulation Frequency Control Ancillary Services (FCAS), to support the National Electricity Market (NEM). These features will place further downward pressure on the cost to electricity users in QLD. Akaysha expects to commence operations in 2025.</p>",NA,-27.329333,152.974384,2025-01-17 03:45:46+00:00,2025-09-16 05:05:41+00:00
BROADMDW,Broadmeadows,NEM,VIC1,<p></p>,NA,-37.685081,144.966114,2023-10-18 04:34:39+00:00,2025-09-07 01:53:32+00:00
0BSSF,Broadsound,NEM,QLD1,"<p>Broadsound Solar Farm and Battery is located on Barada Kabalbara Yetimarala People land in Central Queensland’s Renewable Energy Zone, approximately 150 km north west of Rockhampton.</p><p>The 368 MWdc Solar Farm will comprise of 634,000 solar panels over an area of approximately 900 ha.</p>",NA,-22.810001,149.36302,2024-12-16 01:08:41+00:00,2025-05-26 00:20:55+00:00
BWTR1,Broadwater,NEM,NSW1,"<p>Commissioned in 2008, Cape Byron is one of the largest base load generators of renewable power in Australia. Cape Byron Management purchased the Broadwater and Condong power stations in November 2013 and has continued to implement a range of efficiency, reliability and environmental improvements. Since taking over the power stations annual renewable energy generation has increased by more than 20% at both Broadwater and Condong.</p><p>The 38MW biomass power station at Broadwater produces clean, renewable electricity from mostly sugar cane milling waste, along with certain types of wood residues and energy crops, commonly referred to as ‘biomass’ fuel.</p>",NA,-29.016483,153.445756,2023-10-18 04:34:41+00:00,2025-09-07 01:53:35+00:00
BHILLGT,Broken Hill,NEM,NSW1,<p></p>,NA,-31.986313,141.42062,2023-10-18 04:34:36+00:00,2024-11-07 04:39:37+00:00
BROKENH,Broken Hill,NEM,NSW1,"<p>The Broken Hill Solar Plant, which became operational in December 2015, is a 53 megawatt farm located near Broken Hill in western New South Wales, Australia. It is associated with the Nyngan Solar Plant (almost 600 km to the east), making the total capacity of the combined plants 155 megawatts.<br/>The Broken Hill solar plant, like other generation near the edge of the grid, has suffered from changes in loss factor calculations, with a decrease of 22.7% from a 2017-18 financial year (FY) Marginal Loss Factor (MLF) of 1.2841 to 1.0603 (2018-19 FY MLF), which has affected revenue. On 12 September 2019, the output of the farm was reduced by 50%.</p>",NA,-31.988905,141.391547,2023-10-18 04:34:39+00:00,2025-07-08 06:04:47+00:00
BHB,Broken Hill Battery,NEM,NSW1,"<p>AGL has commenced construction of a 50 MW / 100 MWh Large-Scale Battery Energy Storage System (BESS) facility with advanced grid-forming inverters at 74 – 76 Pinnacles Place, Broken Hill. The Project will support the reliable supply of electricity to Broken Hill in the event of line failure and provide efficient grid support for the region. The Project will also provide storage and firming capacity to the National Energy Market (NEM) as well as additional services to assist grid stability.</p>",NA,-31.9863,141.4204,2024-09-20 01:16:11+00:00,2025-08-26 02:44:01+00:00
BROOKLYN,Brooklyn,NEM,VIC1,<p></p>,NA,-37.818597,144.828492,2023-10-18 04:34:39+00:00,2025-09-07 01:53:34+00:00
BROWNMT,Brown Mountain,NEM,NSW1,<p></p>,NA,-36.594993,149.473997,2023-10-18 04:34:39+00:00,2023-10-18 04:34:39+00:00
BPLANDF,Browns Plains,NEM,QLD1,<p></p>,NA,-27.674584,153.068499,2023-10-18 04:34:38+00:00,2025-09-07 01:53:30+00:00
0WELLINGTONBESS,Bulabul,NEM,NSW1,"<p>AMPYR is developing the Wellington Battery Energy Storage System (BESS) in Central West New South Wales to support Australia’s transition to a cleaner, more reliable energy future.</p><p>The project is being delivered in two stages:</p><ul><li>Wellington 1: 300 MW / 600 MWh</li></ul><ul><li>Wellington 2: 100 MW / 400 MWh</li></ul><p>Together, the two stages will provide a total of 400 MW of power and 1 GWh of storage capacity, enabling the system to store renewable energy and dispatch it during periods of high demand.</p>",NA,-32.530355,148.969343,2025-08-11 01:36:15+00:00,2025-08-19 05:52:59+00:00
BULGANA,Bulgana Green Power Hub,NEM,VIC1,"<p>Bulgana Green Power Hub is a wind farm north of Stawell in the Australian state of Victoria. The project is owned by Neoen. Construction of the 56 wind turbines, with a total generation capacity of 194MW, was completed in August 2019, and connections to the national grid reached full capacity in 2021. 90% of the energy is contracted for supply to the Government of Victoria.</p>",NA,-37.039507,142.982799,2023-10-18 04:34:39+00:00,2025-07-08 04:01:46+00:00
0BUNDSF,Bundaberg,NEM,QLD1,"<p>The 100 MW Solar PV SAT project is located in the Bundaberg region, approximately 360 kilometres north of Brisbane and is expected to have a life span of 25 years. The farm is being constructed across 146 hectares with an estimated 162,000 modules installed in 2,319 rows.</p>",NA,-24.943515,152.020698,2024-12-01 22:29:19+00:00,2025-01-09 22:34:17+00:00
BNGSF1,Bungala One,NEM,SA1,"<p>The Bungala Solar Farm is located near Port Augusta, in South Australia. The Project was developed by Reach Solar Energy, and acquired by Enel Green Power in 2017.</p><p>The Plants, with a total capacity of 275 MW from approximately 800,000 photovoltaic (PV) modules, commenced full production in 2020.</p>",NA,-32.423316,137.841798,2023-10-18 04:34:38+00:00,2025-07-08 02:56:39+00:00
BNGSF2,Bungala Two,NEM,SA1,<p></p>,NA,-32.406993,137.840933,2023-10-18 04:34:38+00:00,2025-07-08 02:56:49+00:00
0BUNGAMA,Bungama,NEM,SA1,"<p>The Bungama BESS is designed to integrate into the National Electricity Market through a 275 kV connection to ElectraNet’s Bungama Substation. Through grid connection, the Project will contribute to a more reliable and stable network for South Australia, by storing excess energy until it is needed. The project is being designed for an operational life of up to 25 years.</p>",NA,-33.191223,138.08733,2025-01-16 23:25:04+00:00,2025-04-06 23:53:54+00:00
BDONGHYD,Burrendong,NEM,NSW1,"<p>Burrendong Dam is a rock-fill embankment major gated dam with a clay core across the Macquarie River upstream of Wellington in the central west region of New South Wales, Australia. A hydro-electric power station generates up to 19 megawatts (25,000 hp) of electricity from the flow of the water leaving Burrendong Dam.</p>",NA,-32.664647,149.108016,2023-10-18 04:34:35+00:00,2025-08-05 06:42:29+00:00
BURRIN,Burrinjuck,NEM,NSW1,"<p>Burrinjuck Power Station is a hydroelectric power station at Burrinjuck Dam, New South Wales, Australia. Burrinjuck has three turbines with a total generating capacity of 28 megawatts (38,000 hp) of electricity.<br/>The power station was commenced in 1927, running two 5 megawatts (6,700 hp) turbines. In 1938, an additional two 5 MW turbines were added at the dam wall. In 1972, floods damaged the original two turbines, which were decommissioned. In 2017, the remaining two turbines were each upgraded to 6 megawatts (8,000 hp), and an additional turbine of 16 megawatts (21,000 hp) was added.</p>",NA,-35.003532,148.579891,2023-10-18 04:34:39+00:00,2025-08-05 05:59:41+00:00
BUTLERSG,Butlers Gorge,NEM,TAS1,"<p>The Butlers Gorge Power Station is a conventional hydroelectric power station located in the Central Highlands region of Tasmania, Australia.</p>",NA,-42.267107,146.262127,2023-10-18 04:34:39+00:00,2025-08-05 07:01:41+00:00
0CALBESS1,Calala 1,NEM,NSW1,"<p>The proposed Calala Battery Energy Storage System (BESS) is located approximately 5.8km southeast of the Tamworth CBD within the Tamworth regional municipality. The BESS has a charge/discharge capacity of up to 250MW and an energy storage capacity up to 500MWh which is enough power to supply electricity for up to 110,000 homes.</p>",NA,-31.141287,150.963101,2025-03-26 00:12:25+00:00,2025-03-26 00:30:06+00:00
0CALBESS2,Calala 2,NEM,NSW1,"<p>The proposed Calala Battery Energy Storage System (BESS) is located approximately 5.8km southeast of the Tamworth CBD within the Tamworth regional municipality. The BESS has a charge/discharge capacity of up to 250MW and an energy storage capacity up to 500MWh which is enough power to supply electricity for up to 110,000 homes.</p>",NA,-31.141287,150.963101,2025-03-26 00:28:18+00:00,2025-03-26 00:35:00+00:00
